新北市公共托嬰中心供給量,,
,2016/12,2017/6
新北市0-2歲兒童數,101014,99415
現有公共托嬰中心收托數,2685,2805
現有公共托嬰中心∕0-2歲人口,2.66%,2.82%
資料來源：新北市戶政司、新北市社會局,,
